name,variety,fieldName,sectionName,plantedDate,harvestReadyDate,status,area,expectedYield,notes
Sunflower Microgreens,Black Oil Sunflower,Greenhouse A,Section 1,2024-12-20,2025-01-03,growing,200,25,"Fast-growing microgreens for restaurant supply"
Pea Shoots,Green Pea,Greenhouse A,Section 2,2024-12-18,2025-01-08,growing,150,20,"Premium microgreens, high demand from SF restaurants"
Radish Microgreens,Daikon Radish,Greenhouse A,Section 3,2024-12-22,2025-01-05,growing,180,22,"Spicy microgreens, popular with chefs"
Arugula Microgreens,Wild Arugula,Greenhouse A,Section 4,2024-12-15,2024-12-29,ready,120,15,"Ready for harvest this week"
Broccoli Microgreens,Calabrese,Greenhouse A,Section 5,2024-12-19,2025-01-02,growing,140,18,"Nutrient-dense microgreens"
Kale Microgreens,Red Russian,Greenhouse A,Section 6,2024-12-21,2025-01-04,growing,160,20,"Popular superfood microgreens"
Mustard Microgreens,Red Giant,Greenhouse A,Section 7,2024-12-17,2024-12-31,ready,130,16,"Spicy, colorful microgreens"
Beet Microgreens,Bull's Blood,Greenhouse A,Section 8,2024-12-16,2025-01-06,growing,110,14,"Deep red color, high demand"
Basil,Genovese,Outdoor Herb Garden,Section 1,2024-10-15,2024-12-15,harvested,300,45,"Completed harvest, excellent quality"
Cilantro,Santo,Outdoor Herb Garden,Section 2,2024-11-20,2025-01-20,growing,250,35,"Growing well, second planting this season"
Mint,Peppermint,Outdoor Herb Garden,Section 3,2024-09-01,2024-11-01,completed,200,50,"Perennial, multiple harvests completed"
Thai Basil,Siam Queen,Outdoor Herb Garden,Section 4,2024-11-10,2025-01-10,growing,180,28,"High demand from Asian restaurants"
Rosemary,Tuscan Blue,Outdoor Herb Garden,Section 10,2023-06-01,2024-01-01,completed,250,55,"Perennial, year-round harvest"
Parsley,Italian Flat Leaf,Outdoor Herb Garden,Section 11,2024-09-20,2024-11-20,harvested,200,38,"Biennial, excellent quality"
Dill,Bouquet,Outdoor Herb Garden,Section 12,2024-10-05,2024-12-05,harvested,180,30,"Fast-growing annual herb"
Tarragon,French,Outdoor Herb Garden,Section 13,2023-05-15,2024-06-15,completed,160,42,"Perennial, premium culinary herb"
Sage,Garden Sage,Outdoor Herb Garden,Section 14,2023-06-10,2024-03-10,completed,190,48,"Perennial Mediterranean herb"
Marjoram,Sweet Marjoram,Outdoor Herb Garden,Section 15,2024-08-15,2024-10-15,completed,140,32,"Delicate herb for fine dining"
Strawberries,Albion,North Field,Section 1,2024-08-01,2024-12-01,ready,2000,400,"Everbearing variety, ready for U-pick"
Strawberries,Seascape,North Field,Section 2,2024-08-01,2024-12-01,growing,2000,380,"Second planting, producing well"
Strawberries,Chandler,North Field,Section 3,2024-09-15,2025-03-15,planted,1500,250,"June-bearing variety for spring harvest"
Strawberries,Monterey,North Field,Section 4,2024-09-01,2024-12-15,ready,1800,320,"Day-neutral variety, consistent production"
Shiitake Mushrooms,3782 Strain,Mushroom Room,Rack A,2024-12-10,2025-01-25,growing,100,80,"First flush expected in 3 weeks"
Oyster Mushrooms,Pearl Oyster,Mushroom Room,Rack B,2024-12-05,2024-12-25,ready,80,60,"Ready for harvest, excellent quality"
Lion's Mane,Pom Pom,Mushroom Room,Rack C,2024-12-12,2025-01-30,growing,60,40,"Premium medicinal mushrooms"
Maitake,Hen of the Woods,Mushroom Room,Rack D,2024-12-01,2025-01-20,growing,70,50,"Growing on oak substrate"
Oyster Mushrooms,Golden Oyster,Mushroom Room,Rack F,2024-12-08,2024-12-28,ready,75,55,"Beautiful yellow variety, restaurant favorite"
Oyster Mushrooms,Pink Oyster,Mushroom Room,Rack G,2024-12-11,2024-12-31,growing,70,52,"Tropical variety, vibrant color"
King Oyster,King Trumpet,Mushroom Room,Rack H,2024-12-03,2025-01-15,growing,85,65,"Large stems, meaty texture"
Goji Berries,Crimson Star,South Field,Section 1,2023-03-15,2024-06-15,completed,800,150,"Second year production, excellent yield"
Turmeric,Hawaiian Red,South Field,Section 2,2024-03-01,2024-11-01,harvested,600,200,"Annual crop, roots harvested for Asian market"
Ginger,Chinese Yellow,South Field,Section 5,2024-02-15,2024-11-15,harvested,550,180,"Fresh ginger for premium market"
Chrysanthemum,Golden Emperor,South Field,Section 3,2024-05-01,2024-09-01,completed,400,60,"Tea flowers for Chinese medicine market"
Jujube,Li,South Field,Section 4,2023-04-01,2024-09-01,completed,500,120,"Chinese dates, second year production"
Astragalus,Mongolian,South Field,Section 6,2023-04-20,2025-04-20,growing,650,95,"Chinese medicinal root, 2nd year of 3"
Licorice,Spanish,South Field,Section 7,2023-06-01,2025-06-01,growing,580,85,"Medicinal root, approaching harvest"
Codonopsis,Dang Shen,South Field,Section 8,2023-05-10,2025-05-10,growing,520,78,"Ginseng alternative, second year"
Schisandra,Five Flavor Berry,South Field,Section 9,2023-03-25,2024-07-25,completed,480,92,"Vining plant, third year production"
Reishi Mushrooms,Red Reishi,Mushroom Room,Rack E,2024-11-20,2025-03-20,growing,90,35,"Medicinal mushrooms for TCM market"
Lavender,Grosso,West Field,Section 1,2023-05-01,2024-06-01,completed,1200,180,"Perennial, multiple harvests for essential oil"
Lavender,Phenomenal,West Field,Section 2,2023-05-01,2024-06-01,completed,1000,150,"Cold-hardy variety, excellent for bouquets"
Lavender,Provence,West Field,Section 3,2023-05-01,2024-06-15,completed,900,135,"French variety, premium essential oil"
Lavender,Hidcote,West Field,Section 4,2023-05-01,2024-06-10,completed,850,128,"Compact variety, deep purple flowers"
Specialty Cut Flowers,Dahlia Mix,East Field,Section 1,2024-04-15,2024-07-15,completed,800,300,"Premium dahlias for local florists"
Specialty Cut Flowers,Ranunculus,East Field,Section 2,2024-10-01,2025-03-01,growing,600,200,"Spring flowers, planted for wedding season"
Specialty Cut Flowers,Peonies,East Field,Section 3,2023-10-15,2024-05-15,completed,700,220,"Perennial, extremely high value"
Specialty Cut Flowers,Lisianthus,East Field,Section 4,2024-03-20,2024-07-20,completed,550,180,"Premium cut flowers, long vase life"
Specialty Cut Flowers,Zinnias,East Field,Section 5,2024-05-10,2024-08-10,completed,450,350,"Prolific bloomers, farmers market favorite"
Specialty Cut Flowers,Sunflowers,East Field,Section 6,2024-06-01,2024-08-15,completed,500,280,"Multiple varieties, bright and cheerful"
Microgreen Mix,Chef's Special,Greenhouse B,Section 1,2024-12-24,2025-01-07,growing,250,30,"Custom blend for restaurant contracts"
Microgreen Mix,Rainbow Mix,Greenhouse B,Section 2,2024-12-23,2025-01-06,growing,220,28,"Colorful variety mix for garnish"
Bok Choy Microgreens,Shanghai,Greenhouse B,Section 3,2024-12-20,2025-01-03,growing,190,24,"Asian variety, restaurant demand"
Sorrel,Red Veined,Outdoor Herb Garden,Section 5,2024-10-01,2024-12-01,ready,150,20,"Lemony herb for fine dining garnish"
Chives,Garlic Chives,Outdoor Herb Garden,Section 6,2023-08-01,2024-05-01,completed,180,40,"Perennial, flowers popular at farmers market"
Lemon Balm,Melissa,Outdoor Herb Garden,Section 7,2024-09-15,2024-11-15,harvested,200,35,"Medicinal herb, tea production"
Oregano,Greek,Outdoor Herb Garden,Section 8,2023-07-01,2024-03-01,completed,220,45,"Perennial Mediterranean herb"
Thyme,French,Outdoor Herb Garden,Section 9,2023-07-01,2024-03-01,completed,180,32,"Perennial culinary herb, drought tolerant"
Saffron,Crocus Sativus,South Field,Section 10,2024-09-01,2024-11-01,harvested,300,8,"Highest value spice, labor-intensive harvest"
Artichokes,Green Globe,North Field,Section 5,2023-04-01,2024-03-01,completed,1200,280,"Perennial, premium restaurants"
Figs,Black Mission,North Field,Section 6,2022-03-15,2024-06-15,completed,800,350,"Established trees, dual harvest season"
Figs,Brown Turkey,North Field,Section 7,2022-03-15,2024-06-20,completed,750,320,"Cold-hardy variety, reliable producer"
Meyer Lemons,Improved Meyer,Container Garden,Row 1,2021-02-01,2024-01-01,completed,200,180,"Container-grown citrus, year-round fruit"
Kumquats,Nagami,Container Garden,Row 2,2021-02-01,2024-01-15,completed,150,120,"Cold-hardy citrus, edible peel"
Blueberries,Bluecrop,North Field,Section 8,2022-11-01,2024-06-01,completed,1000,240,"High-bush variety, acidic soil"
Blueberries,Legacy,North Field,Section 9,2022-11-01,2024-06-15,completed,900,220,"Late season variety, excellent flavor"
Raspberries,Heritage,North Field,Section 10,2023-03-01,2024-07-01,completed,850,190,"Everbearing, fall and summer harvest"
Blackberries,Triple Crown,North Field,Section 11,2023-03-01,2024-07-15,completed,900,210,"Thornless variety, large fruit"
Passionfruit,Frederick,Trellis Section,Row 1,2022-05-01,2024-02-01,completed,400,280,"Vigorous vines, year-round in greenhouse"
Kiwi,Hayward,Trellis Section,Row 2,2021-04-01,2024-10-01,completed,600,320,"Female variety, needs pollinator"
Dragon Fruit,White Flesh,Greenhouse C,Section 1,2022-06-15,2024-07-15,completed,300,85,"Exotic cactus fruit, premium pricing"
Hops,Cascade,Trellis Section,Row 3,2023-04-15,2024-08-15,completed,500,120,"Craft brewery market, aromatic variety"
Bamboo,Moso,Bamboo Grove,Section 1,2021-01-15,2024-04-15,completed,1500,450,"Edible shoots, construction poles"
Persimmons,Fuyu,Orchard,Row 1,2020-02-01,2024-10-15,completed,600,380,"Non-astringent, eat firm like apple"
Pomegranates,Wonderful,Orchard,Row 2,2020-02-01,2024-09-01,completed,550,340,"Drought-tolerant, high antioxidants"
Asian Pears,Shinseiki,Orchard,Row 3,2020-03-15,2024-08-15,completed,580,360,"Crisp texture, Asian market demand"
Mulberries,Pakistan,Orchard,Row 4,2021-04-01,2024-06-01,completed,450,280,"Large fruit, heat tolerant"
Elderberries,York,North Field,Section 12,2023-05-01,2024-08-01,completed,400,165,"Medicinal berries, syrup production"
Aronia Berries,Viking,North Field,Section 13,2023-05-01,2024-08-15,completed,380,155,"Superfood berries, high antioxidants"
Honeyberries,Blue Banana,North Field,Section 14,2022-12-01,2024-05-01,completed,420,145,"Early season berries, unique flavor"